Region,Country,City,Airport Name,IATA Code,longitude_deg,latitude_deg
Caribbean,Cuba,Havana,José Martí International Airport,HAV,-82.40910339355469,22.989200592041016
Caribbean,Cuba,Holguín,Frank País Airport,HOG,-76.31510162353516,20.785600662231445
Caribbean,Cuba,Santa Clara,Abel Santamaría Airport,SNU,-79.943604,22.492201
Caribbean,Cuba,Santiago de Cuba,Antonio Maceo Airport,SCU,-75.83540344238281,19.96980094909668
Caribbean,Cuba,Varadero,Juan Gualberto Gómez Airport,VRA,-81.435303,23.034401
Caribbean,Curaçao,Willemstad,Curaçao International Airport,CUR,-68.959801,12.1889
Caribbean,Dominica,Marigot,Douglas–Charles Airport,DOM,-61.299999,15.547
Caribbean,Dominican Republic,Barahona,María Montez International Airport,BRX,-71.12039947509766,18.25149917602539
Caribbean,Dominican Republic,La Romana,La Romana International Airport,LRM,-68.911111,18.452222
Caribbean,Dominican Republic,Punta Cana,Punta Cana International Airport,PUJ,-68.363403,18.5674
Caribbean,Dominican Republic,Samana,Samaná El Catey International Airport,AZS,-69.737405,19.269259
Caribbean,Dominican Republic,San Felipe de Puerto Plata,Gregorio Luperón International Airport,POP,-70.57,19.7579
Caribbean,Dominican Republic,Santiago de los Caballeros,Cibao International Airport,STI,-70.60469818115234,19.406099319458008
Caribbean,Dominican Republic,Santo Domingo,Las Américas International Airport,SDQ,-69.668899536133,18.42970085144
Caribbean,Grenada,St George's,Maurice Bishop International Airport,GND,-61.786201,12.0042
Caribbean,Guadeloupe,Pointe-à-Pitre,Pointe-à-Pitre International Airport,PTP,-61.531799,16.265301
Caribbean,Haiti,Cap-Haïtien,Cap-Haïtien International Airport,CAP,-72.199576,19.726734
Caribbean,Haiti,Port-au-Prince,Toussaint Louverture International Airport,PAP,-72.292596,18.580023
Caribbean,Jamaica,Kingston,Norman Manley International Airport,KIN,-76.7874984741211,17.935699462890625
Caribbean,Jamaica,Montego Bay,Sangster International Airport,MBJ,-77.913399,18.5037
Caribbean,Martinique,Fort-de-France,Martinique Aimé Césaire International Airport,FDF,-61.003201,14.591
Caribbean,Montserrat,Brades,John A. Osborne Airport,MNI,-62.193298,16.791401
Caribbean,Puerto Rico,Aguadilla,Rafael Hernández International Airport,BQN,-67.129402,18.4949
Caribbean,Puerto Rico,Ponce,Mercedita International Airport,PSE,-66.563004,18.008301
Caribbean,Puerto Rico,San Juan,Fernando Luis Ribas Dominicci Airport,SIG,-66.09809875488281,18.45680046081543
Caribbean,Saint Barthélemy,Saint Jean,Gustaf III Airport,SBH,-62.843601,17.9044
Caribbean,Saint Kitts and Nevis,Basseterre,Robert L. Bradshaw International Airport,SKB,-62.71870040893555,17.311199188232422
